"","converted_sample_01.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_02.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_03.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_04.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_05.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_06.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_07.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_08.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_09.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_10.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_11.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_12.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_13.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_14.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_15.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_16.fasta.fqAligned.sortedByCoord.out.bam"
"ENST00000458203",0,1,0,1,0,0,0,1,1,1,1,0,2,0,0,0
"ENST00000642135",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENST00000480221",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000438808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENST00000439215",0,1,2,1,1,0,1,0,2,5,2,1,2,4,0,0
"ENST00000412845",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENST00000367942",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENST00000400979",71,55,64,63,68,78,67,76,73,66,74,78,74,67,63,77
"ENST00000472961",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENST00000442505",6,2,8,7,8,4,3,7,7,8,10,11,6,8,8,6
"ENST00000446607",1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0
"ENST00000430973",41,53,48,59,42,59,41,52,51,60,48,40,55,33,22,39
"ENST00000433669",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENST00000438989",45,33,47,42,60,56,29,52,17,18,16,12,7,17,16,13
"ENST00000295065",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ENST00000628757",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENST00000418938",1,1,3,0,0,0,1,1,2,1,3,1,3,4,2,1
"ENST00000416673",142,123,109,124,107,113,125,135,94,87,96,106,110,83,88,83
"ENST00000409875",30,25,37,40,40,28,27,27,21,22,31,30,20,23,29,25
"ENST00000419351",61,55,49,55,41,52,80,57,61,58,84,64,53,49,61,71
"ENST00000409602",0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0
"ENST00000397487",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENST00000485069",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENST00000605759",0,1,0,1,0,0,0,2,1,1,1,0,2,0,0,1
"ENST00000482342",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"ENST00000583516",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENST00000460666",14,16,19,9,11,11,11,14,19,18,17,15,16,8,16,19
"ENST00000471841",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENST00000631299",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENST00000413478",264,285,258,297,308,301,293,258,413,424,426,438,387,398,399,415
