"","converted_sample_01.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_02.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_03.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_04.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_05.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_06.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_07.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_08.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_09.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_10.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_11.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_12.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_13.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_14.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_15.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_16.fasta.fqAligned.sortedByCoord.out.bam"
"ENSG00000228463",200,159,132,168,152,148,192,173,125,161,144,159,164,121,111,126
"ENSG00000236679",0,1,0,1,0,0,0,1,1,1,1,0,2,0,0,0
"ENSG00000284747",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000009724",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000164007",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000225099",0,1,2,1,1,0,1,0,2,5,2,1,2,4,0,0
"ENSG00000223489",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000118217",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000215835",71,55,64,63,68,78,67,76,73,66,74,78,74,67,63,77
"ENSG00000244414",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000198625",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000228110",6,2,8,7,8,4,3,7,7,8,10,11,6,8,8,6
"ENSG00000228437",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
"ENSG00000235371",1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0
"ENSG00000233084",41,53,48,59,42,59,41,52,51,60,48,40,55,33,22,39
"ENSG00000228784",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000235411",45,33,47,42,60,56,29,52,17,18,16,12,7,17,16,13
"ENSG00000162959",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000179818",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000236969",1,1,3,0,0,0,1,1,2,1,3,1,3,4,2,1
"ENSG00000240356",277,261,231,276,244,242,250,278,195,219,220,219,239,174,160,178
"ENSG00000144134",1435,1303,1408,1312,1374,1375,1365,1414,1292,1249,1307,1317,1375,1363,1344,1261
"ENSG00000175509",61,55,49,55,41,52,80,57,61,58,84,64,53,49,61,71
