"","id","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"246","ENST00000435688.1",4.98332,4.59053,0.406211,0.770616,3.41541,2.17248,4.74251,4.61477,5.89249,2.01759,5.1443,6.23117,5.08324,2.70178,7.68029,3.42041
"297","ENST00000634759.1",9.06805,7.09504,10.4614,7.79614,8.03683,14.8464,6.96934,6.82125,11.8996,12.2027,0,0,19.9504,14.7131,0,11.8624
"333","ENST00000573762.1",4.98332,4.59053,0.406211,0.770616,3.41541,2.17248,4.74251,4.61477,5.89249,2.01759,5.1443,6.23117,5.08324,2.70178,7.68029,3.42041
"340","ENST00000618719.2",0,0,0,0,0,1.92671,0,0,0,0,0,3.08823e-08,0,0,0,0
"341","ENST00000629682.2",265.736,293.096,176.45,222.905,236.233,166.606,212.408,275.754,244.477,232.311,294.512,279.288,318.792,258.892,232.112,210.962
"342","ENST00000620741.3",45.3898,45.6585,94.0616,78.4255,51.6665,24.8463,90.5322,93.0748,40.5567,58.1817,29.268,48.8038,65.3011,57.1259,26.1017,80.2621
"345","ENST00000628872.1",4.98332,4.59053,0.406211,0.770616,3.41541,2.17248,4.74251,4.61477,5.89249,2.01759,5.1443,6.23117,5.08324,2.70178,7.68029,3.42041
"347","ENST00000616376.1",0,0,0,0,0,20.3989,0,0,0,9.51309,0,17.6832,0,0,0,0
"390","ENST00000634785.1",0,0,3.93281,0,0,0,0,0,0,0,0,0,0,5.4894,0,0
"391","ENST00000635170.1",0,0,0,0,0,0,0,3.61051,0,0,0,0,0,0,0,0
