"","id","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"237","ENST00000493176.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"246","ENST00000435688.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"296","ENST00000402588.6",0,0,0,0,4.64976e-07,0,0,0,0,0,0,0,0,0,0,0
"297","ENST00000634759.1",0,0,0,0,3.86593,0,3.58563,0,0,0,0,0,0,0,0,0
"298","ENST00000621118.4",0,0,0,0,0,0,0,0,4.75811,0,0,0,0,0,0,0
"333","ENST00000573762.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"340","ENST00000618719.2",0,0,0,0,0,0.0888453,0,0.000293132,0,0,1.56312,3.85063,0,0,0,0
"341","ENST00000629682.2",305.627,336.382,218.652,246.05,267.761,188.139,277.572,326.257,270,274.098,299.507,313.126,355.155,292.243,244.778,262.288
"342","ENST00000620741.3",10.9244,0,52.9283,52.3977,26.827,0,13.5269,42.0861,22.2413,16.4414,24.2574,15.4798,28.7461,21.2246,18.8289,30.9979
"345","ENST00000628872.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"346","ENST00000617651.4",0,0,0,0,0,0,0,0,0,3.11884,0,2.4421,0,0,0,0
"347","ENST00000616376.1",0,8.48938,0,0,0,26.9826,0,0,0,6.9901,0,12.9114,0,0,0,0
"389","ENST00000634782.1",0,0,0,0,0,0,0,0,0,9.7592e-07,0.000209954,0,0,0,0,0
"390","ENST00000634785.1",0,0,3.55904,0,0,0,0,0,0,0,0,0,0,4.78055,0,0
"394","ENST00000634356.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"395","ENST00000635668.1",0,0,0,0,0,0,0,0,0,5.25135,0,0,0,0,0,0
"425","ENST00000390320.2",4.32739,8.02002,6.7648,1.81079,6.92546,10.0403,8.88102,6.97392,5.31126,8.63046,7.33903,4.64504,6.2819,10.512,4.60488,8.4274
"471","ENST00000390321.2",76.5195,81.2842,56.0013,60.5534,84.1052,57.0714,80.4306,40.5995,186.934,203.756,240.573,179.185,195.47,199.555,189.167,213.031
"475","ENST00000390331.3",0,0,0,0,0,0,0,0,0,0,0,1.00242,0,0,0,0
"549","ENST00000620395.2",25,18,15,17,19,23,10,23,22,13,21,20,16,7,20,16
"622","ENST00000390289.2",88,55,95,65,63,80,75,53,86,79,57,61,70,78,64,49
"623","ENST00000390290.3",46,42,55,56,36,44,64,30,48,59,45,49,51,42,57,44
"832","ENST00000616938.1",220.274,191.227,211.38,224.927,243.322,252.13,177.072,253.148,200.128,213.523,146.302,192.753,215.221,216.171,223.036,201.738
"889","ENST00000549056.1",0,0,0,1.55439,0.26284,0,0,0.819336,1.78243,1.41888,1.19577,0,0,0.00170188,3.24382,0
"1119","ENST00000216252.3",167.075,183.994,229.463,164.96,185.051,199.855,228.406,196.683,245.325,188.223,204.085,221.004,198.798,199.855,187.166,183.994
"1121","ENST00000491254.1",28.9254,20.0065,18.5368,15.0403,28.9491,16.145,17.5943,25.3173,26.6753,25.7768,23.9152,23.9963,30.2024,25.145,18.8342,28.0065
"1133","ENST00000361534.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1337","ENST00000376085.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
