"Gene.name","sample_01.fasta","sample_02.fasta","sample_03.fasta","sample_04.fasta","sample_05.fasta","sample_06.fasta","sample_07.fasta","sample_08.fasta","sample_09.fasta","sample_10.fasta","sample_11.fasta","sample_12.fasta","sample_13.fasta","sample_14.fasta","sample_15.fasta","sample_16.fasta"
"A4GALT",411,393,451,435,475,445,438,393,454,389,446,398,426,415,435,428
"AC000093.1",1616,1569,1596,1577,1610,1558,1447,1518,1579,1485,1499,1663,1639,1515,1665,1629
"AC007663.2",460,461,430,448,441,392,498,414,453,412,450,390,433,447,422,482
"AC246793.1",628,677,668,659,626,620,585,617,688,608,643,614,547,590,678,713
"AC246793.2",628,677,668,659,626,620,585,617,688,608,643,614,547,590,678,713
"ACO2",524,516,541,524,485,495,517,615,564,546,564,590,589,576,598,476
"ACR",294,308,273,308,224,248,321,280,309,259,335,245,248,291,292,351
"ADA2",611,632,532,642,593,672,664,768,664,629,626,597,617,511,598,615
"ADM2",767,808,770,785,888,773,768,783,726,772,828,767,884,834,911,918
"ADORA2A",439,537,656,570,527,508,466,508,532,520,448,541,470,571,532,531
"ADORA2A-AS1",1336,1104,1172,1199,1282,1177,1151,1259,920,833,833,798,843,812,770,903
"ADSL",458,557,555,601,620,548,536,624,524,591,603,659,565,572,596,618
"AIFM3",1854,1936,1941,1978,1945,1967,1907,1894,3227,3384,3255,3432,3315,3305,3312,3264
"AL021937.1",374,295,270,303,335,316,348,263,274,345,239,257,362,324,287,346
"AL022323.1",233,171,185,197,192,244,249,213,206,172,268,208,182,173,225,224
"ALG12",518,457,468,490,477,508,490,501,462,443,510,529,454,484,508,470
"ANKRD54",861,979,818,911,772,832,755,786,859,854,864,988,826,840,838,842
"ANKRD62P1-PARP4P3",318,283,353,346,343,279,300,314,357,333,293,332,383,282,370,283
"AP000351.2",122,116,91,106,108,91,135,113,99,114,170,106,99,96,108,95
"AP1B1",2610,2501,2404,2551,2530,2315,2376,2591,2304,2501,2551,2588,2351,2726,2460,2563
"AP1B1P1",171,162,171,152,136,144,169,119,188,169,192,186,144,161,169,155
"APOBEC3A",781,756,825,754,794,791,838,678,737,870,815,722,813,780,801,872
"APOBEC3B",717,643,632,576,653,578,629,613,552,702,563,703,612,685,592,565
"APOBEC3C",181,242,164,215,242,237,246,177,218,197,226,226,186,270,253,234
