"Gene.name","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"A4GALT",409.605,391,449.908,434,472.0002,442.9997,436,384.079,451,387,445.9997,397.992,424.9999,414,432.86,426
"AC000093.1",1458.676,1697.07,1435.189,1577.281,1480.605,1497.629,1257.573,1415.871,1432.553,1341.119,1694.208,1610.652,1499.135,1325.034,1595.369,1774.879
"AC000095.1",179,129,105,130,148,156,121,151.87,626,531,612,656,632,642,613,655
"AC002472.2",286.977,328,262,266,299,302,313,294,322.998,295,313,305,299,280,292,316
"AC002472.3",29.2962,30.8775,40.358,39.3262,50.3233,29.7358,37.2045,37.7353,49.6551,42.6652,48.8516,49.1564,20.306,37.2347,32.8465,35.1018
"AC004997.1",0,0,0,0,0,20.6689,0,0,0,0,0,0,0,0,0,0
"AC005176.1",0,5.02497,3.04994,0,0,5,2.07491,3.04994,0,6,0,0,5.02497,0.101146,0,1.04994
"AC006453.2",4,1,4,2,4,1,4,2,4,3,1,4,3,5,3,5
"AC007325.1",94.2797,56.8935,85.8721,72.4881,51.568,71.5332,72.6369,63.5269,82.946,64.8994,84.3037,61.8019,63.7252,67.6372,70.055,97.8697
"AC007325.2",196.5998,162.0916,167.9789,177.8019,166.9373,94.99976,116.04738,127.8692,184.9227,85.73323,184.684,146.4786,163.6722,147.8298,136.53153,165.6724
"AC008132.1",805.1148,841.8171,861.3178,926.9971,899.4874,874.5474,862.908,824.5634,834.0826,851.9017,820.6804,869.5322,836.8874,898.4444,820.92,875.714
"AC023491.2",1.0506e-05,36.7738,28.6137,0.746034,6.36986,1.88629e-07,31.0546,15.0436,0.0447496,1.9518,0,0,0.31446,33.2685,20.0763,16.7835
"AC091959.3",0,0,1,0,0,0,0,2.29623,2.73027,1.64535,1.2312,1.2312,2.4624,2.74852,1.2312,3.69361
"AC245060.4",121.086,91.9154,144.698,166.135,106.972,117.081,118.764,109.924,140.684,183.805,110.049,132.27,119.846,121.236,106.103,100.048
"ACO2",528.824,514.925,536.048,526.362,486.147,483.609,506.929,624.729,551.575,557.587,557.195,569.587,592.035,563.325,610.124,463.621
"ACR",293,307,270.448,292.094,224,247,320,278,308,259,330.96,243,248,290,291,351
"ADA2",1371.75610001003,1262.0000166616,1335.0029458,1299.9979,1355.0001,1401.0001,1318.256411434,1438.9012,1435.99990843,1423.00054,1351.9973,1367.9999,1402.9998,1261.7712,1351.9998,1286.00063
"ADM2",1609.0033,1696.9963,1601.0041,1585.99772,1747.9993,1577.9957,1490.9966,1455.9994,1526.9977,1584.99763,1731.9963,1595.0016,1656.0029,1673.999,1691.00274,1652.9974
"ADORA2A",597,674,803.85141,709.369,677.33919,656.894,600,652.331,625,613.9998,532,629.0008,558.537000043652,640.082,623,641
"ADSL",447.5827,552.3849,539.443126,593.3935,614.14963,543.529147,531.60064,618.0804,518.4877,588.9992,593.46350136341,653.4406,556.32833225,567.82923,590.8061,606.862851119
"AIFM3",1839.99929946,1922.000212276,1923.0005595,1961.2837397824,1929.00003007,1948.7605140404,1886.999849423,1885.0002,3209.3250176582,3369.999271,3234.539781652,3410.00243783,3292.999746,3280.74279278,3285.0021,3241.050918916
