"Gene.name","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"A4GALT",411.000238,393.000200063994,451.00032,435,475.000666462,444.000000076436,438.000370876,387.3879,453.00023,388.99980003062,446.000000019282,398.00000016317,426,415,434.99999,428.0002
"AC000041.1",46.8572,36.9516,42.2942,46.8727,44.9094,42.421,41.2654,40.787,37.4626,36.9903,52.8653,31.7907,29.2865,37.6182,36.0771,41.8845
"AC000041.2",41.8967,39,36,35,36,38,47.9299,45.9265,44,34.8174,32,57,33,50.8546,45,28
"AC000093.1",979.332,1157.507,1039.711,1112.928,1084.004,1089.24,787.484,1008.885,1006.668,1005.78,1247.78,1057.969,1161.149,956.693,1055.836,1162.641
"AC000095.1",217,188,148,168,189,194,154,192.947,822,695,790,848,821,805,774,839
"AC002472.2",355,385,318,324,368,356,384,356,395,367,380,369,364,341,365,383
"AC002472.3",50.3167,48.9115,57.6707,52.3366,73.191,44.219,60.745,54.0997,64.5492,59.2785,61.8253,71.0973,40.8798,60.3256,47.2415,62.3805
"AC004832.3",227.1095,137.80215497,207.624,189.7253159,147.707000036818,161.124,255.6825,176.685,240.16766,193.862,177.133,200.386,158.305,225.1335,135.66100177759,182.724
"AC004997.1",0,0,0,0,0,24.8618,0,0,0,0,0,0,0,0,0,0
"AC005176.1",0,5.02497,3.04994,0,0,5,2.07491,3.04994,0,6,0,0,5.02497,0.100606,0,1.04994
"AC006453.2",4,1,4,2,4,1,4,2,4,3,1,4,3,5,3,5
"AC007325.1",36.2993,31.0259,58.1265,39.8229,36.9936,37.9255,45.7694,37.4566,49.8307,42.3222,53.5257,42.1503,36.1953,42.5909,32.2483,69.7009
"AC007325.2",180.8816,159.1094,170.3363,171.4057,157.8118,90.26177,109.34499,116.9367,194.9438,85.55871,189.554,133.5585,162.0057,144.56645,129.66399,168.64584
"AC007731.5",0,28.7079,3.35768,0,23.8696,8.04835e-06,0.0810761,42.8624,31.2354,34.0406,13.1639,34.3094,7.67898,0,23.3832,0.233323
"AC008132.1",881.2258,885.6137,880.5872,959.8647,944.1369,906.9507,911.7482,876.2286,870.3261,898.2025,843.7624,910.9153,867.9823,945.6471,834.4053,936.6368
"AC023491.2",5.47841,11.6564,8.08801,0,0,0,16.9279,1.23682e-07,0,3.27482,0,0,6.76149e-06,20.1644,15.8159,0
"AC091959.3",0,0,1,0,0,0,0,2.26719,2.73027,1.31593,0,1.2312,2.4624,2.60963,1.2312,3.69361
"AC245060.4",159.541,123.792,181.568,197.759,147.619,154.635,143.945,139.824,174.685,239.121,142.546,159.234,143.349,153.903,142.871,136.055
"ACO2",534.948,513.069,525.33162,522.43586,487.20339,475.72757,499.66407,620.976,556.767,549.671304,563.164188,573.59186,592.59239,568.367,612.212,463.632
"ACR",293.99918,307,271.388012,290.18,223.999314,247.99934,320.99922,280.00094,308.99998,258.992,332.77888,244,248,290,291.99988318,351
"ACTR6",4,2,0,1.41158,0,1,1,1,0,3,3,0,1,0,3,2
"ADA2",1376,1264.99971,1340.99943,1303.00023,1359.99951,1402.9992,1322.9994,1444.9998415,1443.0005,1424.9999,1358,1369.00028,1405.9996,1261.9091,1355.99714,1289.00052
"ADM2",1613.9989,1703.0036,1605.9959,1589.9997,1758.996,1583.0036,1495.0005,1458.0009,1531.9996,1589.9969,1740.9959,1599.0029,1670.0042,1678.0038,1699.9995,1663.0039
"ADORA2A",609.99997,680.00038,814.999965307,726.0002011,694.4140205,677.3933,612.0001,663.69861929,637.999783,623.999976966,544.000656,641.0003240321,570.501487,660.361886215,637.99984,654.000443
"ADSL",458.000424,556,550.4457,599.8631,619.99985,546.7076,535.9997,624.000700255784,523.999868217,590.99925,601.9999,656.6936,564.9996,570.00032,592.7673713391,616.99968
"AIFM3",1852.9872,1933.8419301644,1931.1669174765,1968.992475,1942.95228,1965.7161,1903.1349,1891.44563446,3225.99023,3379.9025,3249.4338,3429.3622,3311.92810001648,3301.7357,3291.17080015399,3259.7638768
"AL022312.1",16.1064,31.3919,15.9417,16.4238,29.5919,21.2345,21.3403,23.0798,14.5522,19.5649,15.9949,29.3558,15.4019,14.294,13.4853,15.3794
"AL022318.4",120.521,112.698,120.009,150.48,81.3825,122.944,86.9438,128.334,85.3375,69.0668,130.624,163.799,169.622,155.97,1.60087,129.033
"AL162151.2",16.4557,11.7108,9.78086,15.2721,6.78782,16.4052,15.3868,12.9768,6.40866,15.0078,18.2394,12.8708,8.95196,14.4863,16.4437,14.6079
"ALG12",516.0002,457.0004,467.9997,489.9997,473.2683,503.8806,489.0023,500.0005,460.9999,442.9998,510,523.0685,453.0617,483.9997,508.0005,470.0003
"ANAPC15",3,1,0,3,1,5,0,5,3,4,2,2,1,2,5,3
"ANKRD54",872.5203,992.0002,842.0001,929.9997,784.0001,846.9996,782.9997,804.6115,863.2647,871.5251,874.0001,989.9998,854.9996,847.9996,847.9998,851.4044
"ANKRD62P1",138,113,139,138,140,107,129,127,138,133,122,143,156,117,141,121
"AP000346.2",64,93.2893,67.247,67,70,76,80,74,67,68,62.018,75.4247,67,68,79.3409,82
"AP000347.1",281.6324,293.8242,355.4323,293.3269,257.4818,321.6704,302.2763,290.0654,287.5089,298.0948,284.0173,266.8638,302.6407,286.9911,364.4674,312.871
"AP000349.1",16.8632,6.13879,32.7859,30.2911,25.5357,48.4304,17.5878,4.38132,33.1686,22.9103,28.6882,36.6967,19.5629,40.7114,19.2371,38.3766
"AP000351.2",50.5897,51.4028,39.6081,50.3873,56.4588,41.697,51.7247,46.5563,47.1929,41.3153,68.883,38.6705,52.42,45.7825,51.545,41.2625
"AP000351.7",68.1246,49.2212,93.0986,65.8784,57.6992,59.5069,57.7634,56.9543,53.989,64.9877,40.2999,60.2989,60.1062,42.7299,68.0337,36.8139
"AP000356.3",172.6681,183.7321,177.70631,208.9954,175.50738,200.6619,175.31303,192.5456,180.67022,203.901,171.36305,153.64456,182.48108,204.305,183.7015,213.4401
"AP000356.4",24.8913,34.9542,28.8891,21.9395,29.9713,30.9598,30.9442,31.9771,25.9548,32,24.926,28.9429,33.9338,30.9596,25.9597,30.9722
"AP000550.4",10.2163,12.0458,12.1109,10.0605,13.0287,19.0402,13.0558,11.0229,18.0452,15.1506,14.074,12.5047,17.0662,19.182,16.0403,13.0278
"AP006222.1",46.8111,31.6325,52.7034,41.3931,36.6808,34.0637,54.349,20.5753,30.2321,27.0797,36.6553,30.1022,54.5324,24.3499,25.7589,32.878
"AP1B1",2563.145736,2461.04756,2359.711111,2502.1270516,2480.08975,2268.579792,2331.73422921,2547.98518,2264.5378,2460.008308,2492.13411,2554.0807,2321.70918,2686.37739517,2419.923022,2519.1147
"AP1B1P1",170.9999,160.9997,171.0001,150.9996,134.9996,143.9997,167.0001,119,186.9995,169,191.0001,185.9999,143.0004,158.9996,169.0004,154.9997
"AP1G2",1,1,3,5,2,1,5.92891,2,3,2,3,0,1,1,0,0
"APOBEC3A",762.726,748.1022,810.6826,744.339,795.6118,733.363,829.0226,656.918,714.2892,829.46,790.5506,692.1684,826.6478,783.1606,773.3762,861.7744
"APOBEC3B",714.833,638.321,633.496,570.88,634.603,621.371,620.988,618.406,545.463,703.561,565.216,711.614,587.008,670.9393,602.61,558.8111
"APOBEC3C",217,274.535,198.0001,251,271,270.399,275,198.1911,231.0001,212.0001,237.2871,235.5081,212.0001,285,265.6302,246
"APOBEC3D",399.0997,358.1061,387.6387,400.1066,401.5608,351.7417,396.3308,333.0653,478.1682,409.3569,380.0027,302.8303,303.8958,379.8725,536.4273,347.319
"APOBEC3F",1147.102,1223.0291,1096.329,1153.937,1147.63913,1236.491,1200.227101095,1213.5826,715.16017,611.2505,729.10206,656.55,759.463,723.887,706.563,674.17202
"APOBEC3G",330.7177,401.208,320.8437,396.2565,371.19956,306.5463339544,365.48785,404.5017,409.5834,391.104047628,382.0885,273.529,378.3633115677,368.1695,443.791700014837,369.8758
"APOBEC3H",872.99912303,824.999366265,717.00026,759.0002,809.99955,762.99953,811.000500396019,803.999592190421,869.9996,753.00036,741.0006,767.0012,822.001,858.0013,737.0012,724.0005
"APOL1",2288.003,2166.9996,2100.9958,2518.7144,2425.002711,2177.7761,2285.4115,2305.0002,2293.843428,2127.99939412,2182.973948619,2320.424435,2261.9955584,2372.35170152,2226.647269653,2136.4097
"APOL2",998,1108.0001,1160.9983,966.9994,1118.0003,1121,1007.00010064396,1024,1041.0003,1132.7304,1020.1676,1000.2464,1090.0002,1068.18303,1004.618,978.9995
"APOL3",3238.710334673,3244.999631,3310.9998016404,3293.0000394052,3331.99991,3352.65714389,3415.10995,3206.9989739,3383.00082846086,3426.99954688,3533.78087859,3533.08008205195,3252.00063,3170.46142012008,3260.73433044296,3244.58711003239
"APOL4",1447.00042318,1272.00010006161,1266.9993597903,1285.00001030113,1361.0000370424,1339.00000285064,1320.9999519381,1362.086413312,1434.00000012264,1346.99973,1319.999164,1286.24588664335,1256.0002,1399.9999,1279.000250074,1437.9986
"APOL5",222,243.467,271,289,266,248,278,292,262,291,241,320,267,293,271,275
"APOL6",1957.97,2143.93,2140,2238,1938,1944.97,2061,2049,1816,1903,1993.98,2064,2032.97,1918,2050,2012.98
"ARFGAP3",2002.00428038,1999.9997,2079.9972,1950.99564,2005.002,1962.00533,2027.996637,1900.99609790692,1113,1204.9996,1057.00020144826,1064,984.99994,1042,1232.0004,1095
"ARHGAP8",1062.3825,1074.817708,1163.78477,1128.8961,1152.663,1086.488,1110.28967,1225.8664,1120.4589,998.08,892.18578,1112.8968,1090.3407,1165.9396,989.93212,1100.648278
"ARMC9",19,25,33,19,20,22,31,21,28,15,24,19,15,32,14,23
"ARPC1B",0,6.81799,10.0726,5.09731,5.37177,3.96248,0,3.22794,8.92473,8.29032,17.3298,2.27031,9.84677,5.92538,11.9909,11.7879
"ARSA",2416.9995,2487.001,2432.00022,2487.99955,2501.0003,2435.0002,2438.0007,2435.00099,6474.012,6578.99683,6332.99774,6163.00173,6327.9927,6217.995,6433.00532,6346.01044
"ARSG",3,1,1,2,1.95213,2,0,2,0,3,1,1,0,2,4,3
"ARVCF",813.00001249577,783.000670028189,921.0003992,809.00055,848.99942686,865.00035,781.37436662,820.21270438,826.218326723,828.41723,831.00031,813.194528919846,917.468310380985,874.44979,796.9997,842.99974
"ASCC2",1138.99942,1214.0005661,1088.99983591,966.5951,1130.00033,1202.54328,1125.00051,971.87945,1055.9998,1200.62216,1047.00093,1091,983.08388,1112.00030004474,1115.76585,1032.00006
"ASPHD2",633.287,666.371,593.054,676.45,674.768,626.448,649.959,669.601,682.118,663.616,705.871,596.235,725.489,722.012,610.624,606.44
"ATAD3C",4,1,1,2,3,3,5.45977,1,4,2,3,2,3,2,4,3
"ATF4",833,746,648.979,665,664.983,681,680,653,729,730,713.986,583,730,699.892,628,628
"ATP5MGL",168,146,188,197,112,160,165,148,196,181,195,153,146,187,147,144
"ATP6V1E1",753,931.82,826,866.999,888,782.95,776.166,863,784.999,857.999,831.97,865,839.252,828.982,797.5,828
"ATXN10",1253.9998,1329.99949,1401.99923,1319.999882714,1351.00048,1382.0001,1305.99935,1324.9996,1243.0004,1284.00009,1182.9872,1238.000088,1294.904,1218.9992,1256.9991,1329.00012
"BAIAP2L2",1514.0025,1507.0027,1458.9981,1564.9993,1433.9955,1444.0018,1611.997,1690.003,441.0004,397,447.9999,427.9997,407.999565,411.9997,405.00044,367.9998
"BCL2L13",14236,14566.991,13798.998,14014.997,14053.993,14439.005,13850.002,14240.006,12715.998,12342.9937,12198.492,12661.173,12899.007,12885.007,12229.99,12970
"BCR",4975.13015838,5095.8379,4996.9369,4922.61769,5070.7343,4819.4588,4992.55966,4736.9324,2762.4773,2882.5446,2925.301231,3012.9898,2753.23206,2677.0376,2737.6005,2721.1535
"BCRP2",989.491,952.464,1007.783,860.994,954.277,938.999,977.929,917.985,884.478,892.525,916.42,898.989,943.517,868.647,848.039,876.623
"BCRP4",21.3441,22.5197,23.4729,25.4184,21.6747,24.4117,24.5818,24.204,32.6361,26.6327,23.3573,24.9992,21.6953,25.1653,32.5761,21.4763
"BCRP6",35.798,37.3568,35.8278,40.2934,22.4319,34.2027,46.1724,26.8938,46.9408,54.6742,49.7566,33.8156,28.2039,28.4026,17.8845,41.0999
"BEST2",2,4,7,1,4,2,4,3,12,7,2,5,11,12,9,5
"BID",3821.99825,3855.00008,3805.996194,3969.9991,3821.9969,3706.0021,3971.9947,3557.9967,4645.9988,4318.0014,4641.4542,4545.00168,4641.0019,4477.0006,4641.0046,4860.0013
"BIK",230,159,234,202,153,213,180,188,218,180,165,184,200,199,160,175
"BMS1P12",8.45939,2.19629,5.43202,5.24066,6.38097,4.46938,1.05518,4.16107,3.32321,10.8786,7.4536,7.76626,6.6506,4.09667,5.14647,4.1187
"BMS1P17",286.4934,292.00048,296.99976,276.99955,316.15927,315.8463,358.7642,225.73946,386.22582,309,325.00025,233.759,322.00025,256.115,293.731,315.93532
"BPIFC",411,410.249,363,452,376,371,344,374,395,438,393,359,452,348,371,426
