"Gene.name","converted_sample_01.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_02.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_03.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_04.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_05.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_06.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_07.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_08.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_09.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_10.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_11.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_12.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_13.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_14.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_15.fasta.fqAligned.sortedByCoord.out.bam","converted_sample_16.fasta.fqAligned.sortedByCoord.out.bam"
"AC000093.1",148,130,139,133,144,133,106,126,140,126,135,155,145,116,139,146
"AC007041.1",45,33,47,42,60,56,29,52,17,18,16,12,7,17,16,13
"AC007228.2",8,13,20,19,19,13,15,8,10,12,21,12,15,19,17,19
"AC007663.2",460,459,430,447,439,392,498,415,452,411,449,389,430,445,422,480
"AC008079.1",53,50,70,54,61,62,74,54,68,62,49,58,73,69,58,55
"AC008132.1",498,513,512,531,537,489,548,498,491,500,480,505,487,478,464,508
"AC023490.2",15,14,14,18,12,19,12,10,14,10,5,14,15,18,17,12
"AC023490.3",6,11,9,6,11,13,15,12,11,6,9,11,13,8,9,7
"AC083873.1",5,3,2,6,6,4,3,11,7,6,3,5,9,5,5,4
"AC094103.1",31,34,34,37,25,29,23,29,25,28,41,32,34,42,30,28
"AC097263.1",22,9,10,14,10,10,6,15,52,60,68,58,60,60,59,53
"AC097533.1",264,285,258,297,308,301,293,258,413,424,426,438,387,398,399,415
"AC113385.2",12,2,1,7,3,9,5,5,6,5,0,3,7,3,5,5
"AC114324.1",12,2,1,7,3,9,5,5,6,5,0,3,6,3,5,5
"AC135068.5",2,1,7,1,2,2,4,0,1,5,4,4,6,1,3,3
"AC135279.2",3,1,0,0,0,4,3,1,0,0,2,1,1,0,1,2
"AC245060.4",206,154,239,246,183,197,181,178,212,279,178,196,188,190,184,180
"AC246793.1",625,677,667,659,625,620,583,617,686,607,643,613,544,590,676,711
"ACR",72,64,47,59,41,54,64,51,63,58,67,59,49,52,48,65
"ADA2",11,4,12,4,9,3,7,7,6,7,8,11,7,11,4,9
